집계일자,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
2024-01-02,0,1,44,1,262,1,6,1,1,53,324
2024-01-02,0,1,42,1,13739,399,382,246,646,879,16291
2024-01-02,0,1,43,1,913,19,22,65,10,15,1044
2024-01-02,0,1,10,0,4879,164,257,176,26,47,5549
2024-01-02,0,1,10,1,349,13,17,24,7,75,485
2024-01-02,0,1,18,0,4473,256,917,981,375,26,7028
2024-01-02,0,1,45,0,484,19,183,220,39,35,980
2024-01-02,0,1,34,0,1809,55,142,196,56,16,2274
2024-01-02,0,1,28,0,4172,120,133,143,46,454,5068
2024-01-02,0,1,37,0,1267,103,460,823,212,41,2906
2024-01-02,0,1,48,0,1028,145,402,198,72,164,2009
2024-01-02,0,1,1,0,2311,159,421,432,125,18,3466
2024-01-02,0,1,49,0,1080,58,209,151,14,14,1526
2024-01-02,0,1,46,0,237,7,92,70,18,37,461
2024-01-02,0,1,11,0,9071,277,873,590,169,348,11328
2024-01-02,0,1,2,0,5676,283,568,470,143,66,7206
2024-01-02,0,2,0,0,2079972,76233,79879,71204,121650,100482,2529420
2024-01-02,0,2,0,1,521802,14737,11759,9584,14212,29492,601586
2024-01-02,0,2,27,1,36586,282,179,195,189,2394,39825
2024-01-02,0,2,8,0,68623,1283,1638,1809,8043,3958,85354
2024-01-02,0,2,8,1,2648,23,8,4,16,133,2832
2024-01-02,0,2,26,1,17636,154,108,11,19,2127,20055
2024-01-02,0,2,44,0,87775,3453,2197,2232,5550,6784,107991
2024-01-02,0,2,44,1,3798,30,125,13,7,265,4238
2024-01-02,0,2,43,1,16249,126,60,38,126,807,17406
2024-01-02,0,2,24,1,2008,48,76,0,0,67,2199
2024-01-02,0,2,10,0,68408,1638,1901,1060,965,3614,77586
2024-01-02,0,2,10,1,6735,105,90,107,168,474,7679
2024-01-02,0,2,18,0,65874,4761,5304,4945,10121,3059,94064
2024-01-02,0,2,45,0,27873,812,2342,3058,4499,913,39497
2024-01-02,0,2,34,0,49485,1369,1593,727,2000,2177,57351
2024-01-02,0,2,28,0,63425,1529,962,709,722,4194,71541
2024-01-02,0,2,37,0,12074,641,595,1841,4152,1112,20415
2024-01-02,0,2,48,0,57368,3155,1688,1850,3423,3854,71338
2024-01-02,0,2,1,0,102536,2834,6053,5996,8710,2625,128754
2024-01-02,0,2,49,0,69925,4438,2300,3519,2575,4080,86837
2024-01-02,0,2,46,0,5881,336,364,655,1262,248,8746
2024-01-02,0,2,11,0,107129,3493,3126,2581,2752,6085,125166
2024-01-02,0,2,2,0,89655,3143,2383,3648,6015,3709,108553
2024-01-02,1,1,0,0,180626,7500,26194,21858,6128,24129,266435
2024-01-02,1,1,0,1,36497,1421,2821,2422,1044,5454,49659
2024-01-02,1,1,8,0,6820,221,683,1036,374,999,10133
2024-01-02,1,1,8,1,3904,35,37,154,15,34,4179
2024-01-02,1,1,26,1,8353,96,208,216,153,1131,10157
2024-01-02,1,1,44,0,6094,427,648,475,182,1028,8854
2024-01-02,1,1,44,1,305,5,2,1,0,58,371
2024-01-02,1,1,42,1,13300,348,378,236,643,858,15763
2024-01-02,1,1,43,1,4341,121,240,329,56,612,5699
2024-01-02,1,1,24,1,2873,47,98,0,0,70,3088
2024-01-02,1,1,10,0,5124,175,235,168,30,647,6379
2024-01-02,1,1,10,1,352,14,12,21,5,67,471
2024-01-02,1,1,18,0,3992,293,1401,938,357,456,7437
2024-01-02,1,1,45,0,609,22,163,176,34,50,1054
2024-01-02,1,1,34,0,1907,54,151,119,88,239,2558
2024-01-02,1,1,28,0,4113,122,223,185,57,676,5376
2024-01-02,1,1,37,0,1221,92,447,586,148,229,2723
2024-01-02,1,1,48,0,1427,120,380,207,55,202,2391
2024-01-02,1,1,1,0,3015,123,439,411,259,277,4524
2024-01-02,1,1,49,0,1291,77,239,159,20,229,2015
2024-01-02,1,1,46,0,308,8,85,62,15,47,525
2024-01-02,1,1,11,0,8701,327,989,593,208,1259,12077
2024-01-02,1,1,2,0,5344,221,599,447,131,661,7403
2024-01-02,1,2,0,0,2103888,77301,82857,69563,125489,102590,2561688
2024-01-02,1,2,0,1,527432,14746,11838,9534,14207,29667,607424
